DATE,BAA10YM,CPIAUCSL,FEDFUNDS,HOUST,INDPRO,INTDSRUSM193N,ISRATIO,M2SL,MTSDS133FMS,PAYEMS,PCE,T10Y2YM,T10YFFM,UMCSENT,UNRATE,USSLIND,A191RL1Q225SBEA,A191RO1Q156NBEA,GDPC1,GFDEGDQ188S,GPDI,PCEC
1950-09-01,,-1.1003471190301535,,,-0.7913407931259969,-0.952340344212379,,,,-1.165768176099349,,,,,-0.821872311114658,,2.167839352104069,3.6373811615677454,-1.2284946095236002,,-0.9342446151786072,-0.9109672629967652
1950-10-01,,-1.0982698188127107,,,-0.7881273484023252,-0.952340344212379,,,,-1.1583692050798464,,,,,-0.9437258523167278,,1.3502225973533617,4.047413219780837,-1.2255372072844175,,-0.9311466051190497,-0.9111724993193864
1950-11-01,,-1.096971506176809,,,-0.7889307095832432,-0.952340344212379,,,,-1.1564366380225135,,,,,-0.9437258523167278,,1.1193661018943384,3.6770616833303027,-1.2233993205774005,,-0.9323665256108694,-0.9102693472173788
1950-12-01,,-1.0920379181603823,,,-0.7800966368140154,-0.952340344212379,,,,-1.1540899494528951,,,,,-0.8827990817156932,,0.8885096064353148,3.3067101468797686,-1.2212614338703836,,-0.933586446102689,-0.9093661951153715
1951-01-01,,-1.0868446676167753,,,-0.7784899144521796,-0.952340344212379,,,,-1.142301290403165,,,,,-1.2483597053219022,,0.6576531109762916,2.936358610429234,-1.2191235471633664,,-0.9348063665945087,-0.9084630430133641
1951-02-01,,-1.0810022607552174,,,-0.7752764697285078,-0.952340344212379,,,,-1.1343225492664626,,,,,-1.4311400171250068,,0.8115574412823069,2.751182842203967,-1.2163590031893292,,-0.933920904739731,-0.908805103551066
1951-03-01,,-1.0803531044372665,,,-0.7728692864066238,-0.952340344212379,,,,-1.1261505514240266,,,,,-1.4311400171250068,,0.9654617715883226,2.5660070739787,-1.2135944592152916,,-0.9330354428849534,-0.909147164088768
1951-04-01,,-1.0798337793829058,,,-0.7720659252257057,-0.952340344212379,,,,-1.1264818486338553,,,,,-1.6139203289281114,,1.119366101894338,2.380831305753433,-1.2108299152412543,,-0.9321499810301758,-0.90948922462647
1951-05-01,,-1.0789249605377746,,,-0.7736697473666719,-0.952340344212379,,,,-1.1239695114593224,,,,,-1.6748470995291462,,1.2540323909121018,2.129521334590571,-1.2074846829565467,,-0.9338576800446381,-0.9092747651006047
1951-06-01,,-1.0797039481193156,,,-0.7760798309094257,-0.952340344212379,,,,-1.1208774041675902,,,,,-1.5529935583270764,,1.3886986799298653,1.878211363427708,-1.2041394506718384,,-0.9355653790591003,-0.9090603055747396
1951-07-01,,-1.079963610646496,,,-0.7841134427186052,-0.952340344212379,,,,-1.1209602284700473,,,,,-1.6139203289281114,,1.523364968947629,1.6269013922648459,-1.2007942183871307,,-0.9372730780735625,-0.9088458460488744
1951-08-01,,-1.080612766964447,,,-0.7889307095832432,-0.952340344212379,,,,-1.12231302541018,,,,,-1.6139203289281114,,0.7923193999940555,1.3888182616895026,-1.2004293728197806,,-0.9388211347329148,-0.9085271242254682
1951-09-01,,-1.078405635483414,,,-0.7857172648595713,-0.952340344212379,,,,-1.1239142952576844,,,,,-1.4920667877260418,,0.06127383104048174,1.150735131114159,-1.2000645272524302,,-0.9403691913922673,-0.9082084024020619
1951-10-01,,-1.0767178290567416,,,-0.7865206260404892,-0.952340344212379,,,,-1.1224786740150945,,,,,-1.370213246523972,,-0.6697717379130919,0.9126520005388158,-1.1996996816850798,,-0.9419172480516196,-0.9078896805786557
1951-11-01,,-1.0746405288392988,,,-0.7825067203567694,-0.952340344212379,,,,-1.1185859317996099,,,,,-1.370213246523972,,-0.342725036012809,0.8729714787762587,-1.197925649835147,,-0.9415859506493323,-0.9077790823414948
1951-12-01,,-1.0726930598854463,,,-0.7792932756330976,-0.952340344212379,,,,-1.1139753789628302,,,,,-1.6139203289281114,,-0.015678334112526116,0.8332909570137013,-1.196151617985214,,-0.9412546532470448,-0.907668484104334
1952-01-01,,-1.0729527224126265,,,-0.7736726475875416,-0.952340344212379,,,,-1.1144723247775727,,,,,-1.5529935583270764,,0.3113683677877568,0.7936104352511442,-1.194377586135281,,-0.9409233558447575,-0.9075578858671731
1952-02-01,,-1.0734720474669872,,,-0.7704592028638698,-0.952340344212379,,,,-1.1082328939924697,,,,,-1.6139203289281114,,-0.015678334112526116,0.581980985850839,-1.1940161750301868,,-0.9425444370269423,-0.9072275347875027
1952-03-01,,-1.0737317099941677,,,-0.768852480502034,-0.952340344212379,,,,-1.1087298398072125,,,,,-1.7357738701301813,,-0.342725036012809,0.37035153645053387,-1.1936547639250925,,-0.944165518209127,-0.9068971837078323
1952-04-01,,-1.0728228911490363,,,-0.7736726475875416,-0.952340344212379,,,,-1.105527300112204,,,,,-1.7357738701301813,,-0.6697717379130919,0.15872208705022853,-1.1932933528199983,,-0.9457865993913118,-0.9065668326281618
1952-05-01,,-1.0726930598854463,,,-0.7784899144521796,-0.952340344212379,,,,-1.104919921894185,,,,,-1.6748470995291462,,-0.47739132503057247,-0.026453681175038588,-1.192079468554551,,-0.9444538228187512,-0.9063691352716707
1952-06-01,,-1.0719140723039051,,,-0.7833100815376872,-0.952340344212379,,,,-1.1148588381890394,,,,,-1.6748470995291462,,-0.28501091214805313,-0.2116294494003055,-1.1908655842891034,,-0.9431210462461905,-0.9061714379151794
1952-07-01,,-1.0699666033500523,,,-0.7913407931259969,-0.952340344212379,,,,-1.118696364202886,,,,,-1.5529935583270764,,-0.09263049926553384,-0.39680521762557264,-1.189651700023656,,-0.9417882696736298,-0.9059737405586881
1952-08-01,,-1.0698367720864623,,,-0.7592150465518884,-0.952340344212379,,,,-1.0971344374632157,,,,,-1.4311400171250068,,0.9558427509441964,0.026453681175037706,-1.1840891921159362,,-0.9406764634104192,-0.9053227428131954
1952-09-01,,-1.0706157596680035,,,-0.7399401786515971,-0.952340344212379,,,,-1.086201629538876,,,,,-1.6139203289281114,,2.004316001153927,0.4497125799756484,-1.1785266842082167,,-0.9395646571472087,-0.9046717450677025
1952-10-01,,-1.0698367720864623,,,-0.7343166503851716,-0.952340344212379,,,,-1.0785541856120018,,,,,-1.6748470995291462,,3.052789251363658,0.8729714787762587,-1.172964176300497,,-0.9384528508839981,-0.9040207473222097
1952-11-01,,-1.0698367720864623,,,-0.72307249407319,-0.952340344212379,,,,-1.072508011532632,,,,-0.02873148708671482,-1.796700640731216,,2.4564099714278482,0.9787862034764117,-1.1697124010175635,,-0.9381601205457174,-0.9037360310481554
